                    x                count                  avg                sigma                  min                  max
       5219.000000000        134.000000000         46.241224000          6.899517000         32.743000000         67.107002000
       5383.000000000         24.000000000         34.713042000          5.732625000         22.069000000         44.561001000
       5384.000000000        128.000000000         35.045719000         11.277171000        -21.361000000         54.801998000
       5565.000000000         43.000000000         41.003209000          5.585985000         26.284000000         50.205002000
       5566.000000000        133.000000000         39.422083000         10.288156000        -29.782000000         58.783001000
       5567.000000000         30.000000000         33.917900000          5.656501000         20.759001000         43.719002000
       5731.000000000          2.000000000         46.296000000          0.002830000         46.293999000         46.298000000
       5732.000000000        117.000000000         46.679880000          7.731755000         27.004999000         69.555000000
       5733.000000000        121.000000000         44.758562000          7.966871000         23.188000000         65.926003000
       5734.000000000         20.000000000         46.674500000          6.408130000         34.737999000         60.182999000
       5912.000000000         41.000000000         39.961536000          5.147370000         27.827999000         49.297001000
       5913.000000000        132.000000000         39.222098000          4.644922000         27.749001000         57.556000000
       5914.000000000         32.000000000         37.154938000          5.753154000         21.021999000         51.325001000
       6080.000000000         78.000000000         55.602167000          6.185022000         42.247002000         67.835999000
       6081.000000000        131.000000000         57.123626000          6.622600000         41.287998000         71.737000000
       6082.000000000         56.000000000         57.560089000          7.739282000         40.915001000         76.852997000
       6259.000000000         56.000000000         42.728339000          4.397375000         29.320000000         51.132000000
       6260.000000000        132.000000000         43.786636000          4.740756000         33.331001000         55.476002000
       6261.000000000         24.000000000         42.675625000          5.074890000         32.832001000         48.993000000
       6428.000000000         10.000000000         40.311600000          6.914138000         30.489000000         51.636002000
       6429.000000000        123.000000000         36.741577000          8.872402000        -21.496000000         59.268002000
       6430.000000000        127.000000000         34.391780000          9.775428000        -23.278999000         52.271999000
       6431.000000000         21.000000000         37.062333000          5.684492000         27.007000000         45.959999000
       6606.000000000         66.000000000         40.032076000          5.166122000         25.736000000         51.228001000
       6607.000000000        134.000000000         35.111231000          8.793980000        -24.163000000         48.832001000
       6608.000000000         24.000000000         38.647167000          5.350376000         28.195000000         48.296001000
       6777.000000000         71.000000000         32.550437000          8.267969000        -15.731000000         44.400002000
       6778.000000000        135.000000000         28.625733000         12.722670000        -29.856001000         43.231998000
       6779.000000000         82.000000000         29.498878000         10.217739000        -25.087999000         42.425999000
       6953.000000000         56.000000000         30.983339000         11.412813000        -19.780001000         43.056999000
